ANO CENSO,QUANTIDADE,ID CATEGORIA ADMINISTRATIVA,CATEGORIA ADMINISTRATIVA,SUB CATEGORIA ADMINISTRATIVA,REGIÃO,UF,DADO
2017,5,1,PÚBLICA,FEDERAL,CENTRO-OESTE,DISTRITO FEDERAL,CONCLUINTE
2017,110,1,PÚBLICA,FEDERAL,CENTRO-OESTE,GOIÁS,CONCLUINTE
2017,244,1,PÚBLICA,FEDERAL,CENTRO-OESTE,MATO GROSSO,CONCLUINTE
2017,457,1,PÚBLICA,FEDERAL,CENTRO-OESTE,MATO GROSSO DO SUL,CONCLUINTE
2017,223,1,PÚBLICA,FEDERAL,NORDESTE,ALAGOAS,CONCLUINTE
2017,137,1,PÚBLICA,FEDERAL,NORDESTE,BAHIA,CONCLUINTE
2017,461,1,PÚBLICA,FEDERAL,NORDESTE,CEARÁ,CONCLUINTE
2017,5,1,PÚBLICA,FEDERAL,NORDESTE,MARANHÃO,CONCLUINTE
2017,373,1,PÚBLICA,FEDERAL,NORDESTE,PARAÍBA,CONCLUINTE
2017,265,1,PÚBLICA,FEDERAL,NORDESTE,PERNAMBUCO,CONCLUINTE
2017,199,1,PÚBLICA,FEDERAL,NORDESTE,PIAUÍ,CONCLUINTE
2017,496,1,PÚBLICA,FEDERAL,NORDESTE,RIO GRANDE DO NORTE,CONCLUINTE
2017,131,1,PÚBLICA,FEDERAL,NORDESTE,SERGIPE,CONCLUINTE
2017,32,1,PÚBLICA,FEDERAL,NORTE,ACRE,CONCLUINTE
2017,59,1,PÚBLICA,FEDERAL,NORTE,AMAPÁ,CONCLUINTE
2017,324,1,PÚBLICA,FEDERAL,NORTE,AMAZONAS,CONCLUINTE
2017,272,1,PÚBLICA,FEDERAL,NORTE,PARÁ,CONCLUINTE
2017,112,1,PÚBLICA,FEDERAL,NORTE,RONDÔNIA,CONCLUINTE
2017,36,1,PÚBLICA,FEDERAL,NORTE,RORAIMA,CONCLUINTE
2017,194,1,PÚBLICA,FEDERAL,NORTE,TOCANTINS,CONCLUINTE
2017,167,1,PÚBLICA,FEDERAL,SUDESTE,ESPÍRITO SANTO,CONCLUINTE
2017,887,1,PÚBLICA,FEDERAL,SUDESTE,MINAS GERAIS,CONCLUINTE
2017,1693,1,PÚBLICA,FEDERAL,SUDESTE,RIO DE JANEIRO,CONCLUINTE
2017,467,1,PÚBLICA,FEDERAL,SUDESTE,SÃO PAULO,CONCLUINTE
2017,16,1,PÚBLICA,FEDERAL,SUL,PARANÁ,CONCLUINTE
2017,1117,1,PÚBLICA,FEDERAL,SUL,RIO GRANDE DO SUL,CONCLUINTE
2017,124,1,PÚBLICA,FEDERAL,SUL,SANTA CATARINA,CONCLUINTE
2017,5005,1,PÚBLICA,FEDERAL,CENTRO-OESTE,DISTRITO FEDERAL,CONCLUINTE
2017,4371,1,PÚBLICA,FEDERAL,CENTRO-OESTE,GOIÁS,CONCLUINTE
2017,2620,1,PÚBLICA,FEDERAL,CENTRO-OESTE,MATO GROSSO,CONCLUINTE
2017,2722,1,PÚBLICA,FEDERAL,CENTRO-OESTE,MATO GROSSO DO SUL,CONCLUINTE
2017,2440,1,PÚBLICA,FEDERAL,NORDESTE,ALAGOAS,CONCLUINTE
2017,5812,1,PÚBLICA,FEDERAL,NORDESTE,BAHIA,CONCLUINTE
