ANO CENSO,QUANTIDADE,ID CATEGORIA ADMINISTRATIVA,CATEGORIA ADMINISTRATIVA,SUB CATEGORIA ADMINISTRATIVA,REGIÃO,UF,DADO
2017,9275,1,PÚBLICA,FEDERAL,CENTRO-OESTE,DISTRITO FEDERAL,INGRESSO
2017,10763,1,PÚBLICA,FEDERAL,CENTRO-OESTE,GOIÁS,INGRESSO
2017,9404,1,PÚBLICA,FEDERAL,CENTRO-OESTE,MATO GROSSO,INGRESSO
2017,9954,1,PÚBLICA,FEDERAL,CENTRO-OESTE,MATO GROSSO DO SUL,INGRESSO
2017,6766,1,PÚBLICA,FEDERAL,NORDESTE,ALAGOAS,INGRESSO
2017,15080,1,PÚBLICA,FEDERAL,NORDESTE,BAHIA,INGRESSO
2017,18255,1,PÚBLICA,FEDERAL,NORDESTE,CEARÁ,INGRESSO
2017,9214,1,PÚBLICA,FEDERAL,NORDESTE,MARANHÃO,INGRESSO
2017,17326,1,PÚBLICA,FEDERAL,NORDESTE,PARAÍBA,INGRESSO
2017,16109,1,PÚBLICA,FEDERAL,NORDESTE,PERNAMBUCO,INGRESSO
2017,16217,1,PÚBLICA,FEDERAL,NORDESTE,PIAUÍ,INGRESSO
2017,14522,1,PÚBLICA,FEDERAL,NORDESTE,RIO GRANDE DO NORTE,INGRESSO
2017,6177,1,PÚBLICA,FEDERAL,NORDESTE,SERGIPE,INGRESSO
2017,3474,1,PÚBLICA,FEDERAL,NORTE,ACRE,INGRESSO
2017,1806,1,PÚBLICA,FEDERAL,NORTE,AMAPÁ,INGRESSO
2017,7064,1,PÚBLICA,FEDERAL,NORTE,AMAZONAS,INGRESSO
2017,13841,1,PÚBLICA,FEDERAL,NORTE,PARÁ,INGRESSO
2017,3441,1,PÚBLICA,FEDERAL,NORTE,RONDÔNIA,INGRESSO
2017,2145,1,PÚBLICA,FEDERAL,NORTE,RORAIMA,INGRESSO
2017,5655,1,PÚBLICA,FEDERAL,NORTE,TOCANTINS,INGRESSO
2017,7355,1,PÚBLICA,FEDERAL,SUDESTE,ESPÍRITO SANTO,INGRESSO
2017,45341,1,PÚBLICA,FEDERAL,SUDESTE,MINAS GERAIS,INGRESSO
2017,39408,1,PÚBLICA,FEDERAL,SUDESTE,RIO DE JANEIRO,INGRESSO
2017,14616,1,PÚBLICA,FEDERAL,SUDESTE,SÃO PAULO,INGRESSO
2017,18485,1,PÚBLICA,FEDERAL,SUL,PARANÁ,INGRESSO
2017,32709,1,PÚBLICA,FEDERAL,SUL,RIO GRANDE DO SUL,INGRESSO
2017,12700,1,PÚBLICA,FEDERAL,SUL,SANTA CATARINA,INGRESSO
2017,156,2,PÚBLICA,ESTADUAL,CENTRO-OESTE,DISTRITO FEDERAL,INGRESSO
2017,7671,2,PÚBLICA,ESTADUAL,CENTRO-OESTE,GOIÁS,INGRESSO
2017,4490,2,PÚBLICA,ESTADUAL,CENTRO-OESTE,MATO GROSSO,INGRESSO
2017,2540,2,PÚBLICA,ESTADUAL,CENTRO-OESTE,MATO GROSSO DO SUL,INGRESSO
2017,1488,2,PÚBLICA,ESTADUAL,NORDESTE,ALAGOAS,INGRESSO
2017,10818,2,PÚBLICA,ESTADUAL,NORDESTE,BAHIA,INGRESSO
2017,8409,2,PÚBLICA,ESTADUAL,NORDESTE,CEARÁ,INGRESSO
2017,8768,2,PÚBLICA,ESTADUAL,NORDESTE,MARANHÃO,INGRESSO
2017,3306,2,PÚBLICA,ESTADUAL,NORDESTE,PARAÍBA,INGRESSO
2017,4054,2,PÚBLICA,ESTADUAL,NORDESTE,PERNAMBUCO,INGRESSO
2017,3060,2,PÚBLICA,ESTADUAL,NORDESTE,PIAUÍ,INGRESSO
2017,2873,2,PÚBLICA,ESTADUAL,NORDESTE,RIO GRANDE DO NORTE,INGRESSO
2017,274,2,PÚBLICA,ESTADUAL,NORTE,AMAPÁ,INGRESSO
2017,3537,2,PÚBLICA,ESTADUAL,NORTE,AMAZONAS,INGRESSO
2017,3956,2,PÚBLICA,ESTADUAL,NORTE,PARÁ,INGRESSO
2017,486,2,PÚBLICA,ESTADUAL,NORTE,RORAIMA,INGRESSO
2017,411,2,PÚBLICA,ESTADUAL,NORTE,TOCANTINS,INGRESSO
