ANO CENSO,QUANTIDADE,ID CATEGORIA ADMINISTRATIVA,CATEGORIA ADMINISTRATIVA,SUB CATEGORIA ADMINISTRATIVA,REGIÃO,UF,DADO
2017,36621,1,PÚBLICA,FEDERAL,CENTRO-OESTE,DISTRITO FEDERAL,MATRICULADO
2017,35090,1,PÚBLICA,FEDERAL,CENTRO-OESTE,GOIÁS,MATRICULADO
2017,30177,1,PÚBLICA,FEDERAL,CENTRO-OESTE,MATO GROSSO,MATRICULADO
2017,27317,1,PÚBLICA,FEDERAL,CENTRO-OESTE,MATO GROSSO DO SUL,MATRICULADO
2017,26216,1,PÚBLICA,FEDERAL,NORDESTE,ALAGOAS,MATRICULADO
2017,58819,1,PÚBLICA,FEDERAL,NORDESTE,BAHIA,MATRICULADO
2017,50982,1,PÚBLICA,FEDERAL,NORDESTE,CEARÁ,MATRICULADO
2017,41981,1,PÚBLICA,FEDERAL,NORDESTE,MARANHÃO,MATRICULADO
2017,54173,1,PÚBLICA,FEDERAL,NORDESTE,PARAÍBA,MATRICULADO
2017,55032,1,PÚBLICA,FEDERAL,NORDESTE,PERNAMBUCO,MATRICULADO
2017,38824,1,PÚBLICA,FEDERAL,NORDESTE,PIAUÍ,MATRICULADO
2017,41456,1,PÚBLICA,FEDERAL,NORDESTE,RIO GRANDE DO NORTE,MATRICULADO
2017,28138,1,PÚBLICA,FEDERAL,NORDESTE,SERGIPE,MATRICULADO
2017,11352,1,PÚBLICA,FEDERAL,NORTE,ACRE,MATRICULADO
2017,10766,1,PÚBLICA,FEDERAL,NORTE,AMAPÁ,MATRICULADO
2017,31651,1,PÚBLICA,FEDERAL,NORTE,AMAZONAS,MATRICULADO
2017,57907,1,PÚBLICA,FEDERAL,NORTE,PARÁ,MATRICULADO
2017,12899,1,PÚBLICA,FEDERAL,NORTE,RONDÔNIA,MATRICULADO
2017,7310,1,PÚBLICA,FEDERAL,NORTE,RORAIMA,MATRICULADO
2017,19589,1,PÚBLICA,FEDERAL,NORTE,TOCANTINS,MATRICULADO
2017,29950,1,PÚBLICA,FEDERAL,SUDESTE,ESPÍRITO SANTO,MATRICULADO
2017,170569,1,PÚBLICA,FEDERAL,SUDESTE,MINAS GERAIS,MATRICULADO
2017,143399,1,PÚBLICA,FEDERAL,SUDESTE,RIO DE JANEIRO,MATRICULADO
2017,51232,1,PÚBLICA,FEDERAL,SUDESTE,SÃO PAULO,MATRICULADO
2017,63185,1,PÚBLICA,FEDERAL,SUL,PARANÁ,MATRICULADO
2017,106477,1,PÚBLICA,FEDERAL,SUL,RIO GRANDE DO SUL,MATRICULADO
2017,39609,1,PÚBLICA,FEDERAL,SUL,SANTA CATARINA,MATRICULADO
2017,813,2,PÚBLICA,ESTADUAL,CENTRO-OESTE,DISTRITO FEDERAL,MATRICULADO
2017,18009,2,PÚBLICA,ESTADUAL,CENTRO-OESTE,GOIÁS,MATRICULADO
2017,18067,2,PÚBLICA,ESTADUAL,CENTRO-OESTE,MATO GROSSO,MATRICULADO
